"","GENE_ID","LUSC1","LUSC2","LUSC3","LUSC4","LUSC5","LUSC6","NORM1","NORM2","NORM3"
"1","ENSG00000000003.13",1988,6294,2616,3722,1970,2563,3058,1708,1716
"2","ENSG00000000005.5",1,1,1,1,0,0,3,16,4
"3","ENSG00000000419.11",1194,3779,2317,2477,747,2812,1132,2256,1895
"4","ENSG00000000457.12",449,1282,1023,961,678,1265,1073,940,1119
"5","ENSG00000000460.15",748,1312,716,581,887,743,200,172,233
"6","ENSG00000000938.11",194,542,624,805,142,892,4000,3881,11059
"7","ENSG00000000971.14",1515,1449,2220,5265,534,4606,10636,4859,13526
"8","ENSG00000001036.12",2312,4311,1631,3097,2798,3128,3612,3682,5074
"9","ENSG00000001084.9",20363,3237,15718,38319,28662,30452,2048,1171,1482
"10","ENSG00000001167.13",2346,4953,1889,2553,1350,3059,1762,1160,2828
"11","ENSG00000001460.16",772,746,1520,1665,2308,476,968,636,1480
"12","ENSG00000001461.15",959,3887,1482,2251,2210,2008,4473,2329,7397
"13","ENSG00000001497.15",2531,4640,4068,3724,2006,2159,2122,1377,3300
"14","ENSG00000001561.6",31,3250,385,370,31,770,4561,4160,6691
"15","ENSG00000001617.10",5625,2862,3882,5585,6505,4286,8515,1468,3564
"16","ENSG00000001626.13",2,160,139,101,63,903,1929,2542,2918
"17","ENSG00000001629.8",2671,3647,2097,5190,2205,4692,3852,2213,4093
"18","ENSG00000001630.14",420,222,266,368,391,1041,713,632,1554
"19","ENSG00000001631.13",1537,2247,1740,2956,2100,2559,1939,1462,2516
"20","ENSG00000002016.15",254,452,1236,588,324,351,377,354,438
"21","ENSG00000002079.11",31,7,7,30,19,31,3,13,16
"22","ENSG00000002330.12",1909,2398,2292,1920,1715,1349,2693,3591,3136
"23","ENSG00000002549.11",1766,10164,4952,8447,1328,5131,14867,8234,13798
"24","ENSG00000002586.16",5878,10590,19924,16397,13918,10445,19432,10437,14736
"25","ENSG00000002587.8",122,460,584,376,431,596,1002,502,321
"26","ENSG00000002726.18",20,2152,10,107,6,291,99,72,105
"27","ENSG00000002745.11",8,2,16,39,215,11,14,11,14
"28","ENSG00000002746.13",22,66,9,130,49,547,27,8,22
"29","ENSG00000002822.14",1132,1046,1340,1718,1708,1136,1775,1193,3145
"30","ENSG00000002834.16",9951,16971,7794,18507,11104,13627,21293,8148,25720
"31","ENSG00000002919.13",1110,2959,1413,2011,1033,1909,2124,2730,2447
"32","ENSG00000002933.6",370,5903,1203,1533,434,2904,4574,2882,3569
"33","ENSG00000003056.6",4916,4375,5456,8178,3914,6240,6410,5316,9318
"34","ENSG00000003096.12",855,47,2956,2868,1758,1060,526,178,192
"35","ENSG00000003137.7",92,83,203,437,156,520,1115,109,222
"36","ENSG00000003147.16",33,723,159,374,36,580,1204,872,1392
"37","ENSG00000003249.12",494,338,813,783,548,1692,596,520,740
"38","ENSG00000003393.13",1503,2347,1871,8863,1058,2161,2039,1332,2840
"39","ENSG00000003400.13",591,1113,641,2691,374,691,3101,1765,3389
"40","ENSG00000003402.18",2319,5112,4138,14463,1656,7535,17224,8221,35645
"41","ENSG00000003436.13",335,1884,549,3192,454,3400,26976,10222,22967
"42","ENSG00000003509.14",464,830,1086,1067,574,769,577,629,682
"43","ENSG00000003756.15",1285,2383,2978,4083,2147,2299,3665,3815,7037
"44","ENSG00000003987.12",29,257,43,39,26,135,126,75,200
"45","ENSG00000003989.15",306,406,628,543,461,4875,3540,1295,5657
"46","ENSG00000004059.9",7104,13968,9065,10452,12468,7355,6388,8877,8709
"47","ENSG00000004139.12",155,434,92,374,529,410,468,323,857
"48","ENSG00000004142.10",5812,8177,6608,9355,6947,7153,4790,4052,7415
"49","ENSG00000004399.11",3797,5275,2592,7722,1671,6569,21317,8169,26314
"50","ENSG00000004455.15",2027,15259,4606,5413,4206,7206,6832,6662,8365
"51","ENSG00000004468.11",160,849,3785,690,2796,836,1515,497,7275
"52","ENSG00000004478.7",8192,19102,33118,16130,9928,12759,4419,3233,4103
"53","ENSG00000004487.14",4597,16033,4920,6176,4289,4955,4238,2534,5196
"54","ENSG00000004534.13",1238,3103,2892,3996,2174,1897,2933,2392,5459
"55","ENSG00000004660.13",457,403,1440,2058,1147,927,504,680,994
"56","ENSG00000004700.14",1161,1943,869,2418,1121,2752,2971,1216,2497
"57","ENSG00000004766.14",694,1597,606,1613,711,1421,1704,1445,1968
"58","ENSG00000004776.10",107,91,111,159,26,127,7644,1790,4941
"59","ENSG00000004777.17",103,1081,558,752,1694,146,199,213,261
"60","ENSG00000004779.8",2525,4783,4495,3028,1949,3107,2020,3896,2445
"61","ENSG00000004799.7",79,953,353,393,28,276,23503,5663,23700
"62","ENSG00000004809.12",1,9,3,6,10,5,6,14,14
"63","ENSG00000004838.12",4,193,1474,39,9,19,2673,1051,1119
"64","ENSG00000004846.15",0,2,2,6,1,10,11,12,43
"65","ENSG00000004848.6",3,196,27,1,5,4,83,20,28
"66","ENSG00000004864.12",1422,1726,1375,3034,1967,2324,915,793,1484
"67","ENSG00000004866.17",900,1740,1436,1505,1234,1693,3848,3137,6080
"68","ENSG00000004897.10",2602,4006,3040,5718,3117,5850,5065,2642,4817
"69","ENSG00000004939.12",178,2,0,2,1,0,134,13,167
"70","ENSG00000004948.12",13,13,1,20,1,12,24,9,32
"71","ENSG00000004961.13",1022,1963,1529,1807,1104,1379,1265,1429,1591
"72","ENSG00000004975.10",1652,2038,3235,6294,4503,1661,1933,1354,2491
"73","ENSG00000005001.8",672,640,546,1057,1259,2014,256,486,640
"74","ENSG00000005007.11",8256,12639,16651,13398,14229,7044,7553,3168,14630
"75","ENSG00000005020.11",1049,1741,1872,2879,1075,2822,8277,4719,7101
"76","ENSG00000005022.5",12499,38593,30253,37926,15064,23796,14976,22228,23425
"77","ENSG00000005059.14",307,962,1745,1554,561,1978,1198,1490,1095
"78","ENSG00000005073.5",105,4,5,29,129,90,0,0,0
"79","ENSG00000005075.14",1486,2669,2356,2490,2074,1685,1065,2075,1715
"80","ENSG00000005100.11",1144,1831,1941,3778,2465,1856,987,583,1717
"81","ENSG00000005102.11",42,18,159,493,38,69,191,301,169
"82","ENSG00000005108.14",42,61,140,2090,15,183,1932,312,1236
"83","ENSG00000005156.10",3139,4888,3421,3159,3087,2507,1379,793,2330
"84","ENSG00000005175.8",1463,2159,1308,3339,2047,2948,1649,1261,1548
"85","ENSG00000005187.10",102,4845,30,106,21,274,736,747,934
"86","ENSG00000005189.18",264,377,241,278,386,185,137,119,186
"87","ENSG00000005194.13",1270,3329,3482,3687,1503,3219,2684,2924,3372
"88","ENSG00000005206.15",1812,5094,2139,2777,3528,1083,1102,1132,2402
"89","ENSG00000005238.18",311,1700,1764,3230,761,1277,1481,1177,3273
"90","ENSG00000005243.8",1112,325,1903,2950,1142,2214,1215,910,1244
"91","ENSG00000005249.11",132,766,108,536,75,306,1493,826,1922
"92","ENSG00000005302.16",697,2314,1478,1930,907,1272,2014,2096,2432
"93","ENSG00000005339.11",8804,4197,5284,10139,5809,9465,8731,3038,14982
"94","ENSG00000005379.14",153,1177,431,872,76,517,763,564,1579
"95","ENSG00000005381.7",9,23,10,32,4,14,44,25,74
"96","ENSG00000005421.7",0,133,1,0,0,7,6,16,14
"97","ENSG00000005436.12",1198,1412,1068,1146,1054,1359,1031,800,1312
"98","ENSG00000005448.15",1104,1618,1388,1611,1094,955,1416,1054,1046
"99","ENSG00000005469.10",354,629,437,878,529,1039,1152,1003,1039
"100","ENSG00000005471.14",5,29,12,118,10,30,41,41,44
"101","ENSG00000005483.18",2691,4521,2964,6343,2708,6299,7830,3326,11254
"102","ENSG00000005486.15",4526,5564,5506,11526,7447,7527,6390,7748,16915
"103","ENSG00000005513.9",9,115,27,84,4,10,37,20,33
"104","ENSG00000005700.13",1641,2076,1054,2987,1288,3805,4071,2374,5588
"105","ENSG00000005801.15",955,2944,949,1802,699,799,827,1166,1203
"106","ENSG00000005810.16",1931,2140,4405,8973,2825,6613,7000,2013,8192
"107","ENSG00000005812.9",1097,2341,3734,4037,1690,4268,7127,6698,6518
"108","ENSG00000005844.16",296,1468,886,2664,252,1001,7004,3738,12232
"109","ENSG00000005882.10",751,670,560,1119,572,686,2538,1332,2225
"110","ENSG00000005884.16",5007,5407,5897,7640,8875,19134,33647,12207,45153
"111","ENSG00000005889.14",1704,2931,1325,4388,2155,3313,2174,2003,4223
"112","ENSG00000005893.14",13773,11558,11451,21823,12828,19071,13246,12679,18119
"113","ENSG00000005961.16",39,125,16,162,46,24,140,94,758
"114","ENSG00000005981.11",1,8,9,1,3,28,43,50,46
"115","ENSG00000006007.10",3652,6108,3537,4375,3345,5079,5937,6619,8427
"116","ENSG00000006015.16",1600,1765,3313,1947,1157,644,825,1811,1227
"117","ENSG00000006016.9",153,149,315,400,144,618,257,406,226
"118","ENSG00000006025.10",59,687,432,810,275,272,892,571,1085
"119","ENSG00000006042.10",2681,7985,1856,3693,1541,3399,5461,5553,6627
"120","ENSG00000006047.11",39,549,90,298,203,9,6,12,19
"121","ENSG00000006059.3",10,0,0,16,46,7,1,0,1
"122","ENSG00000006062.12",422,1977,953,1083,831,868,1946,874,4505
"123","ENSG00000006071.10",2,3,6,0,30,7,407,15,317
"124","ENSG00000006116.3",0,0,0,1,1,0,2,0,0
"125","ENSG00000006118.13",3888,10043,5779,9030,12736,9661,1368,484,1334
"126","ENSG00000006125.15",6664,29383,8182,16678,12138,10113,22148,9642,28529
"127","ENSG00000006128.10",0,5,0,1,0,60,19,1,12
"128","ENSG00000006194.9",1756,2379,2145,2892,1074,2369,1559,1388,2680
"129","ENSG00000006210.6",1183,4260,6108,8473,2338,4811,21096,5137,24528
"130","ENSG00000006282.18",2017,1853,1230,2799,4339,3322,2696,927,4518
"131","ENSG00000006283.16",1,9,12,28,29,22,57,27,86
"132","ENSG00000006327.12",419,1926,3257,3103,1394,6643,1765,2823,7512
"133","ENSG00000006377.10",617,49,654,619,663,667,0,0,1
"134","ENSG00000006432.14",1183,542,620,1785,1639,1040,529,361,2432
"135","ENSG00000006451.6",2184,3604,3866,6894,2998,5821,11642,5003,7834
"136","ENSG00000006453.12",2740,3666,4715,4829,4511,4814,2112,1417,3669
"137","ENSG00000006459.9",1533,2362,2307,4594,3728,4989,2892,1360,3652
"138","ENSG00000006468.12",1415,612,5972,5751,1699,2099,6040,5043,8063
"139","ENSG00000006530.14",1578,2104,2172,3236,1702,1753,1285,1136,1856
"140","ENSG00000006534.14",263,599,1829,745,181,529,11178,6568,17252
"141","ENSG00000006555.9",1892,511,1823,3242,2660,4409,460,386,847
"142","ENSG00000006576.15",1740,1694,2337,3808,2077,3779,1334,1694,1895
"143","ENSG00000006606.7",120,27,163,416,95,47,28,6,15
"144","ENSG00000006607.12",1076,2994,1642,2054,1142,3342,1708,942,3376
"145","ENSG00000006611.14",41,1621,20,6,3,12,185,7,45
"146","ENSG00000006625.16",4319,2031,4549,5011,2944,2654,810,1012,1143
"147","ENSG00000006634.6",1263,1460,1622,1647,1128,880,306,461,363
"148","ENSG00000006638.10",29,157,69,126,41,81,694,200,743
"149","ENSG00000006652.12",1044,2579,3161,4553,3132,1812,1809,1886,2736
"150","ENSG00000006659.11",1,9,0,0,0,0,0,0,2
"151","ENSG00000006695.9",950,851,1046,1627,859,872,822,525,1074
"152","ENSG00000006704.9",2241,2755,3649,3562,3404,2500,891,537,1524
"153","ENSG00000006712.13",2849,3102,3644,4852,2331,2433,4631,2965,6671
"154","ENSG00000006715.14",2404,2020,2570,5713,1522,4905,4690,3229,6370
"155","ENSG00000006740.15",739,584,246,599,68,403,2792,2617,6641
"156","ENSG00000006744.17",4077,3478,3853,7004,4527,2618,4069,2376,4934
"157","ENSG00000006747.13",86,97,409,1884,760,1266,657,853,1219
"158","ENSG00000006756.14",1015,6246,1607,2437,3533,2926,4630,3627,11157
"159","ENSG00000006757.10",730,1742,1002,1127,2443,828,674,1762,1857
"160","ENSG00000006788.11",85,3,3,4,1,13,11,6,10
"161","ENSG00000006831.9",5438,6430,22608,10481,5253,10478,7444,4056,16943
"162","ENSG00000006837.10",20,62,22,41,25,58,47,41,43
"163","ENSG00000007001.11",9,13,3,14,1,1,8,5,10
"164","ENSG00000007038.9",14,211,1160,34,2304,383,69,995,676
"165","ENSG00000007047.13",2612,2326,2454,3147,1384,2168,2325,896,2936
"166","ENSG00000007062.10",11,22385,1433,707,11,742,1469,422,164
"167","ENSG00000007080.9",3019,3385,6808,4730,4013,1482,2451,2680,3963
"168","ENSG00000007129.16",17,70,38,114,10,49,288,879,965
"169","ENSG00000007168.11",3118,5401,6600,14503,6491,9718,11061,5419,19825
"170","ENSG00000007171.15",165,137,41,141,18,85,253,104,568
"171","ENSG00000007174.16",84,30,1304,59,28,51,2904,324,880
"172","ENSG00000007202.13",6149,13192,9479,12345,9034,16077,12312,5484,19864
"173","ENSG00000007216.13",6,14,14,231,2,1,35,20,180
"174","ENSG00000007237.17",192,1440,924,2467,282,1789,8424,1940,9825
"175","ENSG00000007255.9",1206,895,824,1211,680,616,812,1794,1419
"176","ENSG00000007264.12",84,109,209,554,36,259,1390,683,1000
"177","ENSG00000007306.13",12,12,8,50,4,26,8,6,66
"178","ENSG00000007312.11",22,365,478,523,85,205,457,744,330
"179","ENSG00000007314.10",15,5,3,36,3,22,17,12,38
"180","ENSG00000007341.17",4,948,449,610,891,375,526,449,813
"181","ENSG00000007350.15",0,3,2,1,2,824,98,14,123
"182","ENSG00000007372.19",719,435,518,914,418,281,322,198,372
"183","ENSG00000007376.6",1537,2001,2189,1297,1398,1014,732,790,1254
"184","ENSG00000007384.14",788,745,1190,1846,1120,1936,2578,1214,3223
"185","ENSG00000007392.15",1276,1519,1499,1833,1236,815,863,1520,1787
"186","ENSG00000007402.10",48,298,52,126,59,654,9976,8001,44302
"187","ENSG00000007516.12",123,138,621,226,120,218,1361,216,1081
"188","ENSG00000007520.3",2224,1173,2670,2390,1727,2008,2311,1857,3014
"189","ENSG00000007541.13",1248,2203,2003,2072,1944,1752,3105,2233,6843
"190","ENSG00000007545.14",1018,893,873,1079,925,1377,845,603,1681
"191","ENSG00000007866.17",2876,4358,1882,3958,3564,3146,2054,1163,4424
"192","ENSG00000007908.14",65,85,197,735,52,415,2177,736,6558
"193","ENSG00000007923.14",1134,2762,1684,2527,1327,1853,1673,825,2883
"194","ENSG00000007933.11",61,524,240,384,142,539,2657,2035,2358
"195","ENSG00000007944.13",4088,3817,1195,2751,3297,1156,4743,2964,2842
"196","ENSG00000007952.16",26,80,75,52,16,48,58,38,41
"197","ENSG00000007968.6",715,1353,612,747,1476,334,109,63,116
"198","ENSG00000008018.8",8276,18089,7161,10962,8429,8436,8319,12210,9522
"199","ENSG00000008056.11",395,211,87,82,10,148,122,30,107
"200","ENSG00000008083.12",3263,5322,2705,4419,3821,1798,1193,792,2135
"201","ENSG00000008086.9",428,475,568,1790,453,1148,2243,936,5201
"202","ENSG00000008118.8",4,48,26,22,19,92,138,46,42
"203","ENSG00000008128.21",142,430,182,342,308,168,292,207,354
"204","ENSG00000008130.14",1435,5108,2681,4146,3055,2276,3799,2641,6050
"205","ENSG00000008196.11",1,598,4,21,260,5,2,17,1
"206","ENSG00000008197.4",39,5,25,17,0,12,0,0,0
"207","ENSG00000008226.18",655,29,925,399,50,63,495,234,477
"208","ENSG00000008256.14",996,1229,1600,3507,763,2305,4310,2496,6468
"209","ENSG00000008277.13",66,336,88,327,39,101,614,195,548
"210","ENSG00000008282.6",6914,7469,8187,12127,8744,17051,8882,8246,10520
"211","ENSG00000008283.14",4362,7198,3932,5823,1258,5978,7377,4800,11399
"212","ENSG00000008294.19",5997,4015,3526,8137,4951,7221,8212,4663,15868
"213","ENSG00000008300.13",542,335,124,353,411,267,96,68,160
"214","ENSG00000008311.13",283,268,281,749,816,1194,979,359,1586
"215","ENSG00000008323.14",1167,3148,1380,2605,1763,1294,152,186,485
"216","ENSG00000008324.9",344,778,966,948,577,780,604,1200,631
"217","ENSG00000008382.14",1046,1428,1195,1105,1454,569,1168,1168,1992
"218","ENSG00000008394.11",5912,4233,9055,10538,6578,12067,6032,12267,10133
"219","ENSG00000008405.10",872,2342,911,1572,1114,820,2396,1550,3860
"220","ENSG00000008438.4",51,1,1,3,9,3,19,3,541
"221","ENSG00000008441.15",2758,7094,3030,7789,2937,3036,15421,6354,20268
"222","ENSG00000008513.13",3714,1866,3693,10925,4643,11695,7020,2991,13801
"223","ENSG00000008516.15",57,274,83,287,71,120,308,180,2486
"224","ENSG00000008517.15",1326,3869,2827,2976,465,2526,7502,7909,10541
"225","ENSG00000008710.16",1918,2296,3083,3628,4130,3457,6147,2241,9281
"226","ENSG00000008735.13",1636,966,220,895,318,2153,135,109,484
"227","ENSG00000008838.16",1530,7268,3114,5472,4927,3453,4920,2398,9315
"228","ENSG00000008853.15",517,855,597,926,599,1351,7845,3664,32174
"229","ENSG00000008869.10",1266,1847,1567,2990,1546,2997,2761,1421,5238
"230","ENSG00000008952.15",6131,6076,4609,10322,6319,21865,18032,11902,18076
"231","ENSG00000008988.8",21553,39030,51373,47084,18469,30452,41388,84454,45626
"232","ENSG00000009307.14",13335,39685,21203,57105,30838,32343,52533,27033,58784
"233","ENSG00000009335.16",10263,6998,6532,9226,6241,14616,6033,3202,8661
"234","ENSG00000009413.14",895,1185,1082,2565,1752,1410,3724,1498,4256
"235","ENSG00000009694.12",5,6,7,50,974,221,250,106,248
"236","ENSG00000009709.10",0,37,11,153,0,103,0,0,1
"237","ENSG00000009724.15",6,75,15,37,8,31,70,65,220
"238","ENSG00000009765.13",15,84,12,3,27,20,127,201,596
"239","ENSG00000009780.14",249,1239,470,784,449,848,1230,1101,1978
"240","ENSG00000009790.13",58,410,253,916,84,435,941,564,733
"241","ENSG00000009830.10",906,803,1144,2420,1671,1218,918,654,1797
"242","ENSG00000009844.14",2756,6266,2490,3922,2905,4372,2886,2536,3026
"243","ENSG00000009950.14",91,179,181,267,220,149,108,137,413
"244","ENSG00000009954.9",5808,9876,7343,11117,7263,9853,7830,3066,9239
"245","ENSG00000010017.12",2127,6487,2813,4861,3851,2707,3189,2027,4466
"246","ENSG00000010030.12",76,843,473,588,173,397,462,364,585
"247","ENSG00000010072.14",923,929,1674,2001,893,1611,663,538,917
"248","ENSG00000010165.18",2132,3933,3237,3187,2315,2974,2483,1796,3029
"249","ENSG00000010219.12",617,1244,765,609,227,565,979,1296,1163
"250","ENSG00000010244.15",7314,14375,12638,12364,6900,11046,7084,5722,10143
"251","ENSG00000010256.9",7016,8881,15818,10452,7905,7093,7835,8842,10173
"252","ENSG00000010270.12",485,1797,956,1239,889,1142,3674,4537,4435
"253","ENSG00000010278.10",39880,38655,83216,65171,36357,75271,25176,47724,49059
"254","ENSG00000010282.13",0,0,29,2,0,3,2,6,11
"255","ENSG00000010292.11",9335,12414,16601,13431,10703,8255,3608,1404,4378
"256","ENSG00000010295.18",81,396,361,878,131,331,956,922,1551
"257","ENSG00000010310.7",12,22,202,104,41,77,78,98,141
"258","ENSG00000010318.18",160,230,163,211,175,136,231,209,320
"259","ENSG00000010319.5",266,403,390,466,118,261,9860,2092,8972
"260","ENSG00000010322.14",920,3504,2716,5026,2892,2321,5621,3856,11210
"261","ENSG00000010327.9",586,3143,1623,4949,874,2524,5847,2738,9318
"262","ENSG00000010361.12",883,1450,951,842,451,388,1302,816,1358
"263","ENSG00000010379.14",3,8,14,16,38,3,62,90,160
"264","ENSG00000010404.16",2718,2909,3715,8200,2632,15780,12465,6672,20140
"265","ENSG00000010438.15",80,64,591,984,10,260,8,12,8
"266","ENSG00000010539.10",577,753,529,968,373,712,523,531,798
"267","ENSG00000010610.8",677,4906,1657,4636,554,3807,17040,7011,19807
"268","ENSG00000010626.13",222,487,1802,541,303,419,1550,1220,1393
"269","ENSG00000010671.14",54,498,287,769,76,389,1635,2900,3014
"270","ENSG00000010704.17",1201,396,579,1033,594,616,1369,1351,1340
"271","ENSG00000010803.15",700,2647,1126,1514,1547,1770,2919,1713,4513
"272","ENSG00000010810.16",319,1877,1534,3267,2180,2113,9453,2228,6563
"273","ENSG00000010818.7",2461,1524,1777,3974,2576,5152,4123,1185,9621
"274","ENSG00000010932.14",63,407,343,564,91,415,128,146,94
"275","ENSG00000011007.11",2046,4700,2430,3878,3072,3351,5429,3688,8391
"276","ENSG00000011009.9",1414,4721,3240,3243,3345,2062,2735,2332,4518
"277","ENSG00000011021.20",290,791,619,1209,536,666,1551,1020,3038
"278","ENSG00000011028.12",5614,4093,4497,12379,2125,14079,16081,7239,23836
"279","ENSG00000011052.20",56,253,83,47,171,20,28,71,44
"280","ENSG00000011083.7",2,9,2,7,3,6,0,6,3
"281","ENSG00000011105.10",1759,2664,6571,4396,2541,5547,10762,3307,9114
"282","ENSG00000011114.13",2740,1164,1046,4116,2135,3065,3009,1271,4401
"283","ENSG00000011132.10",809,1719,824,1196,940,645,775,738,1039
"284","ENSG00000011143.15",478,1625,687,911,517,643,712,586,942
"285","ENSG00000011198.6",561,1107,868,1374,814,1264,1240,1765,3179
"286","ENSG00000011201.9",709,413,308,917,511,985,6114,12962,26701
"287","ENSG00000011243.16",1078,2509,3665,3005,2366,1181,1983,1111,2605
"288","ENSG00000011258.14",958,2720,880,2098,1048,1236,977,862,1193
"289","ENSG00000011260.12",2599,4274,2225,3711,2173,2902,1991,2364,2065
"290","ENSG00000011275.17",3378,2671,3768,4963,3613,4175,3888,1789,5382
"291","ENSG00000011295.14",1342,2150,2571,3033,2072,1476,3013,3643,4819
"292","ENSG00000011304.15",19392,29867,22947,19740,20306,17702,13604,7442,19389
"293","ENSG00000011332.18",217,67,412,465,187,219,10,15,27
"294","ENSG00000011347.8",217,3666,182,1155,226,1750,595,184,406
"295","ENSG00000011376.8",1140,1169,1627,1845,930,1498,1480,677,1584
"296","ENSG00000011405.12",3040,3017,1817,5719,1801,4103,6557,2594,7918
"297","ENSG00000011422.10",1175,2992,2857,3641,1314,5103,2506,3811,8225
"298","ENSG00000011426.9",6292,3610,6480,7679,6441,3507,275,218,137
"299","ENSG00000011451.16",5464,5540,8337,5671,4589,3362,3343,1246,5013
"300","ENSG00000011454.15",2643,4940,2826,6770,4556,4547,5363,2739,6685
"301","ENSG00000011465.15",2816,14818,10287,40712,4080,29698,175524,126555,133670
"302","ENSG00000011478.10",943,1530,688,605,689,675,443,878,729
"303","ENSG00000011485.13",2857,6310,4750,4513,2884,2014,3463,3126,4977
"304","ENSG00000011523.12",1488,2650,1536,3114,1694,2172,3161,1460,2528
"305","ENSG00000011566.13",1431,1935,2057,3239,1371,2693,3064,2322,2879
"306","ENSG00000011590.12",50,36,39,123,23,23,17,45,34
"307","ENSG00000011600.10",572,4026,2238,3242,250,2299,6778,23433,18063
"308","ENSG00000011638.9",3830,1903,1548,2418,1776,5109,2752,2689,2335
"309","ENSG00000011677.11",335,5,35,403,358,752,1,1,2
"310","ENSG00000012048.18",1637,2283,964,2413,1872,1366,610,256,584
"311","ENSG00000012061.14",2785,2822,4024,3308,1548,2135,2721,2423,3933
"312","ENSG00000012124.13",16,160,273,994,99,236,942,577,674
"313","ENSG00000012171.16",488,351,172,527,212,208,6673,3547,12195
"314","ENSG00000012174.10",1581,1305,1304,1951,1339,1892,1496,842,1818
"315","ENSG00000012211.11",1857,707,1732,1781,1624,1483,574,404,765
"316","ENSG00000012223.11",23,2193,7402,95508,391,18840,2685,2444,739
"317","ENSG00000012232.7",4534,2592,4388,3807,7381,5808,4057,1580,5758
"318","ENSG00000012504.12",0,2,1,1,0,0,30,18,9
"319","ENSG00000012660.12",6734,6079,5768,8065,6463,7712,8300,4460,12530
"320","ENSG00000012779.9",173,2038,481,1373,159,1382,3393,11152,20041
"321","ENSG00000012817.14",2,13,1834,1240,1,1866,2021,3,1
"322","ENSG00000012822.14",278,4451,1790,3825,1581,2609,11281,7043,16004
"323","ENSG00000012963.12",1996,3380,1758,3809,3693,1670,2971,1839,3479
"324","ENSG00000012983.10",2762,1427,2112,4723,2152,2785,3317,1596,3842
"325","ENSG00000013016.13",961,553,1129,1858,531,2515,2375,530,2149
"326","ENSG00000013275.6",5031,7102,5492,7759,3747,4364,3976,3450,5381
"327","ENSG00000013288.7",1444,3290,1549,3570,2931,3006,7756,3769,11575
"328","ENSG00000013293.5",2,1,0,1,0,0,4,2,5
"329","ENSG00000013297.9",16,226,55,242,117,166,2105,1097,969
"330","ENSG00000013306.14",11047,14474,9543,9046,8718,7908,4735,4911,6692
"331","ENSG00000013364.17",2928,5240,6309,9219,4810,9738,18362,12063,43541
"332","ENSG00000013374.14",1563,5042,3058,4611,2207,4380,5881,3896,7171
"333","ENSG00000013375.14",2450,3561,1888,3946,2075,3307,2469,1814,3232
"334","ENSG00000013392.7",164,857,181,452,231,340,532,883,635
"335","ENSG00000013441.14",756,3204,2081,8923,1376,2175,2375,4981,4422
"336","ENSG00000013503.8",561,798,565,981,598,741,1083,618,1261
"337","ENSG00000013523.8",1384,1734,1169,2570,1423,789,2016,1592,2762
"338","ENSG00000013561.16",914,3191,1906,2222,1130,2991,3942,4131,3988
"339","ENSG00000013563.12",557,600,684,1197,779,1489,2691,1360,2783
"340","ENSG00000013573.15",637,2647,1805,1297,2277,1609,466,618,180
"341","ENSG00000013583.7",1291,2183,1370,2440,1460,1605,3404,3870,4971
"342","ENSG00000013588.5",3657,11569,2734,4603,1970,6554,52307,30550,167205
"343","ENSG00000013619.12",84,77,110,455,378,710,894,230,697
"344","ENSG00000013725.13",73,603,293,1176,254,387,3086,612,1241
"345","ENSG00000013810.17",2839,5715,4171,3497,4405,2862,1153,762,1235
"346","ENSG00000014123.9",1576,2850,909,1924,1425,2977,2784,2493,3096
"347","ENSG00000014138.7",2012,3266,2711,1535,1803,1124,1043,864,1104
"348","ENSG00000014164.6",1766,2969,2201,2906,2424,1955,1438,640,2646
"349","ENSG00000014216.14",17725,16966,20555,24572,19384,16319,15071,8939,23599
"350","ENSG00000014257.14",422,174,333,690,324,839,405,533,1009
"351","ENSG00000014641.16",7111,10302,11331,10212,6995,8001,5787,8904,7618
"352","ENSG00000014824.12",1549,6529,4029,3274,1742,4755,4986,3811,6313
"353","ENSG00000014914.18",275,427,384,865,353,793,807,602,1154
"354","ENSG00000014919.11",956,1603,1376,2329,1219,2599,2566,2251,3301
"355","ENSG00000015133.17",6662,2123,2071,4020,3864,2173,3351,1161,4434
"356","ENSG00000015153.13",494,1358,479,1079,516,1209,1297,982,1135
"357","ENSG00000015171.17",2779,2421,2046,5608,1804,4312,9041,4511,10890
"358","ENSG00000015285.9",135,611,509,1044,126,529,2003,1083,3539
"359","ENSG00000015413.8",6,44,25,149,2,158,42,20,16
"360","ENSG00000015475.17",3367,2785,4234,3204,2363,4367,1337,2365,2544
"361","ENSG00000015479.16",131,251,139,358,254,204,226,152,397
"362","ENSG00000015520.13",4,7,10,48,88,21,27,9,23
"363","ENSG00000015532.8",3219,2184,1950,4247,4809,2771,2133,1527,2424
"364","ENSG00000015568.11",0,0,0,0,0,1,1,1,1
"365","ENSG00000015592.15",3,3,4,14,6,28,0,1,1
"366","ENSG00000015676.16",3894,4370,5481,7274,7861,6059,7816,5154,10505
"367","ENSG00000016082.13",23,3,13,14,0,0,7,8,4
"368","ENSG00000016391.9",25,1628,71,157,180,183,362,635,975
"369","ENSG00000016402.11",827,727,769,889,1124,878,1372,754,4458
"370","ENSG00000016490.14",3,0,0,0,1,0,0,0,9
"371","ENSG00000016602.9",14,1,25,92,94,1151,12,7,35
"372","ENSG00000016864.15",841,1970,1749,2589,1168,2223,3440,2695,3522
"373","ENSG00000017260.18",7889,23720,10895,13317,8319,18425,9579,8416,16250
"374","ENSG00000017427.14",2,52,57,77,21,92,308,255,250
