"","GENE_ID","LUSC1","LUSC2","LUSC3","LUSC4","LUSC5","LUSC6","NORM1","NORM2","NORM3"
"45424","ENSG00000258068.1",0,0,0,0,0,0,0,1,0
"45425","ENSG00000258071.1",0,0,0,0,0,0,0,0,0
"45426","ENSG00000258072.1",3,5,4,0,1,10,0,2,2
"45427","ENSG00000258073.1",0,1,0,1,1,7,0,0,0
"45428","ENSG00000258074.1",0,0,0,0,0,0,0,1,0
"45429","ENSG00000258076.1",0,0,0,0,0,0,0,0,0
"45430","ENSG00000258077.2",3,30,0,0,2,1,2,2,5
"45431","ENSG00000258080.1",0,0,0,0,0,0,1,0,0
"45432","ENSG00000258081.3",0,0,1,1,0,0,0,0,0
"45433","ENSG00000258082.1",1,3,4,5,0,5,12,8,11
"45434","ENSG00000258083.1",13,0,1,1,0,0,1,0,0
"45435","ENSG00000258084.4",0,0,0,1,0,2,13,2,2
"45436","ENSG00000258086.1",2,0,1,8,0,8,8,5,6
"45437","ENSG00000258088.1",0,3,1,2,1,0,1,0,1
"45438","ENSG00000258090.1",2,1,0,2,1,1,1,0,1
"45439","ENSG00000258091.1",0,0,0,0,0,0,0,0,0
"45440","ENSG00000258092.1",0,4,7,5,5,1,0,3,0
"45441","ENSG00000258096.1",1,0,0,1,2,0,0,1,1
"45442","ENSG00000258098.1",0,0,0,0,0,0,0,0,0
"45443","ENSG00000258099.1",15,9,18,4,12,11,8,12,13
"45444","ENSG00000258100.1",0,0,0,3,0,1,11,10,4
"45445","ENSG00000258101.2",45,18,4,19,3,4,16,21,17
"45446","ENSG00000258102.2",41,66,108,267,208,145,94,81,101
"45447","ENSG00000258104.1",0,0,0,0,1,1,0,0,0
"45448","ENSG00000258107.1",0,0,0,0,0,0,0,0,0
"45449","ENSG00000258108.1",0,0,0,0,1,0,1,0,0
"45450","ENSG00000258111.1",0,0,0,0,0,0,0,0,0
"45451","ENSG00000258112.1",0,0,0,0,0,0,1,0,0
"45452","ENSG00000258114.1",0,0,0,0,0,0,0,0,0
"45453","ENSG00000258115.1",0,0,0,0,0,0,0,5,2
"45454","ENSG00000258116.1",0,14,4,19,18,31,0,4,1
"45455","ENSG00000258117.2",2,0,0,0,0,0,0,0,0
"45456","ENSG00000258118.1",0,0,0,0,0,2,0,0,0
"45457","ENSG00000258119.1",0,0,0,0,0,0,0,1,0
"45458","ENSG00000258120.1",0,0,0,1,0,0,0,0,0
"45459","ENSG00000258121.1",1,0,2,2,27,2,0,0,1
"45460","ENSG00000258122.1",1,0,1,2,0,0,3,6,4
"45461","ENSG00000258123.1",0,5,0,0,1,2,0,0,0
"45462","ENSG00000258125.1",0,1,0,0,0,0,0,0,0
"45463","ENSG00000258128.2",2,0,0,0,0,3,1,1,0
"45464","ENSG00000258130.6",1,3,5,4,2,0,6,1,4
"45465","ENSG00000258131.1",0,1,0,0,0,0,0,0,0
"45466","ENSG00000258133.1",0,0,0,0,1,0,0,0,0
"45467","ENSG00000258134.1",0,0,0,0,0,3,0,0,1
"45468","ENSG00000258135.4",0,1,0,0,0,0,0,0,0
"45469","ENSG00000258136.1",13,18,6,28,15,13,7,8,21
"45470","ENSG00000258137.4",3,4,1,3,3,5,1,3,2
"45471","ENSG00000258140.1",0,0,0,0,0,0,0,1,1
"45472","ENSG00000258142.2",0,0,0,0,0,0,0,0,0
"45473","ENSG00000258144.1",0,0,0,0,2,0,0,0,0
"45474","ENSG00000258148.2",0,0,0,0,0,0,0,1,0
"45475","ENSG00000258150.4",0,0,1,0,0,0,0,1,1
"45476","ENSG00000258153.1",0,5,3,5,0,4,0,2,0
"45477","ENSG00000258154.1",0,0,0,0,0,0,1,0,0
"45478","ENSG00000258159.1",0,0,0,1,0,0,1,0,0
"45479","ENSG00000258162.2",0,0,0,0,0,0,0,0,0
"45480","ENSG00000258167.1",0,0,0,0,0,0,0,0,0
"45481","ENSG00000258168.4",310,32,14,119,5,38,120,98,253
"45482","ENSG00000258169.1",1,0,0,0,0,0,0,0,0
"45483","ENSG00000258170.1",1,0,0,0,0,0,1,0,0
"45484","ENSG00000258171.1",0,1,0,0,0,0,0,1,1
"45485","ENSG00000258172.1",0,0,1,0,0,0,4,0,8
"45486","ENSG00000258173.1",0,0,0,0,0,0,0,0,0
"45487","ENSG00000258175.1",0,0,18,19,0,2,9,3,0
"45488","ENSG00000258177.1",0,0,1,3,2,3,1,3,4
"45489","ENSG00000258178.1",0,0,0,0,0,0,0,0,0
"45490","ENSG00000258179.1",1,0,0,0,1,0,0,0,0
"45491","ENSG00000258181.1",0,10,3,5,1,14,24,4,8
"45492","ENSG00000258183.4",0,0,0,2,0,1,0,0,0
"45493","ENSG00000258184.1",0,0,0,0,0,0,0,0,0
"45494","ENSG00000258185.2",0,0,0,0,0,0,0,0,0
"45495","ENSG00000258186.2",0,0,0,0,0,0,0,0,0
"45496","ENSG00000258193.1",0,0,0,0,0,0,0,0,0
"45497","ENSG00000258196.1",0,0,0,0,1,0,0,0,0
"45498","ENSG00000258197.1",0,0,0,0,0,0,0,0,0
"45499","ENSG00000258199.1",93,186,115,107,181,94,252,78,169
"45500","ENSG00000258202.1",0,0,0,0,0,0,0,0,0
"45501","ENSG00000258203.4",0,1,0,1,0,5,0,1,0
"45502","ENSG00000258204.1",0,0,0,1,0,1,0,0,1
"45503","ENSG00000258205.1",0,0,0,0,0,0,0,0,0
"45504","ENSG00000258206.1",0,0,0,0,0,0,0,0,0
"45505","ENSG00000258210.1",12,23,6,34,23,6,7,6,11
"45506","ENSG00000258212.1",0,0,0,0,0,0,0,0,0
"45507","ENSG00000258214.1",0,0,0,0,0,0,0,0,0
"45508","ENSG00000258215.1",0,0,0,2,0,1,0,1,0
"45509","ENSG00000258216.4",1,1,0,1,0,1,0,2,0
"45510","ENSG00000258220.1",0,0,0,0,0,0,0,0,0
"45511","ENSG00000258223.5",0,1,0,0,0,0,0,0,0
"45512","ENSG00000258224.1",0,0,0,0,0,1,0,0,0
"45513","ENSG00000258225.1",0,0,0,0,0,0,0,1,1
"45514","ENSG00000258227.5",97,100,254,448,63,824,666,260,527
"45515","ENSG00000258230.2",3,2,0,4,2,9,3,8,10
"45516","ENSG00000258231.4",0,0,1,0,2,6,0,1,0
"45517","ENSG00000258232.2",1,0,0,0,0,0,0,0,2
"45518","ENSG00000258233.1",0,0,0,0,0,0,0,0,0
"45519","ENSG00000258234.1",0,0,0,0,0,4,7,16,21
"45520","ENSG00000258235.1",0,0,0,0,0,1,0,0,0
"45521","ENSG00000258239.1",0,0,0,0,0,0,0,0,0
"45522","ENSG00000258240.4",24,0,0,3,4,2,0,0,0
"45523","ENSG00000258244.1",0,0,0,0,4,1,0,0,1
"45524","ENSG00000258245.1",0,0,2,0,0,4,4,4,4
"45525","ENSG00000258247.1",1,0,0,0,0,0,0,0,0
"45526","ENSG00000258249.1",1,2,0,0,1,0,4,0,0
"45527","ENSG00000258251.1",0,0,0,0,0,0,0,0,0
"45528","ENSG00000258253.1",0,0,0,0,0,3,0,0,0
"45529","ENSG00000258254.1",0,0,0,0,0,0,0,0,0
"45530","ENSG00000258256.1",3,6,1,2,2,4,1,3,0
"45531","ENSG00000258260.1",0,1,2,1,1,0,0,1,1
"45532","ENSG00000258262.1",0,0,0,0,2,0,1,0,0
"45533","ENSG00000258265.1",0,0,0,0,0,0,0,0,0
"45534","ENSG00000258268.1",0,1,0,3,0,0,2,1,0
"45535","ENSG00000258271.1",0,0,0,0,0,0,0,0,0
"45536","ENSG00000258272.1",0,0,0,1,0,0,0,0,0
"45537","ENSG00000258273.1",2,0,0,0,0,0,1,1,5
"45538","ENSG00000258274.1",1,0,1,6,2,11,24,11,12
"45539","ENSG00000258275.1",0,0,0,0,0,0,0,0,0
"45540","ENSG00000258278.1",0,0,0,0,0,0,0,0,0
"45541","ENSG00000258279.2",10,4,7,32,15,122,3,3,0
"45542","ENSG00000258280.1",0,0,0,0,0,0,0,0,0
"45543","ENSG00000258282.2",0,1,0,0,0,3,0,1,0
"45544","ENSG00000258283.1",0,0,0,0,0,0,0,0,0
"45545","ENSG00000258284.1",3,0,0,4,2,2,0,0,3
"45546","ENSG00000258285.1",1,0,0,1,0,1,1,0,0
"45547","ENSG00000258288.1",0,0,0,0,0,0,0,0,0
"45548","ENSG00000258289.6",1683,1001,2186,2496,608,1848,5613,5773,4852
"45549","ENSG00000258290.1",0,0,0,0,0,0,0,0,0
"45550","ENSG00000258292.1",1,0,0,0,0,0,0,0,2
"45551","ENSG00000258294.4",0,0,1,0,1,0,0,0,0
"45552","ENSG00000258297.1",210,763,380,380,467,249,295,297,456
"45553","ENSG00000258300.2",1,1,2,1,2,0,1,0,2
"45554","ENSG00000258301.3",56,36,42,52,84,21,79,38,79
"45555","ENSG00000258302.2",16,10,17,78,38,17,13,14,27
"45556","ENSG00000258303.1",5,4,6,10,1,3,4,4,5
"45557","ENSG00000258304.1",0,0,0,0,0,0,0,0,1
"45558","ENSG00000258308.4",2,1,0,0,0,0,0,3,4
"45559","ENSG00000258311.4",25,123,29,59,37,96,71,64,145
"45560","ENSG00000258312.1",1,0,0,0,0,0,1,0,0
"45561","ENSG00000258313.1",0,0,0,0,0,0,0,0,0
"45562","ENSG00000258314.3",3,0,0,1,3,0,0,0,0
"45563","ENSG00000258315.4",58,84,104,176,117,62,104,112,117
"45564","ENSG00000258316.1",1,0,0,0,0,0,1,1,1
"45565","ENSG00000258317.1",8,15,5,12,23,13,4,9,7
"45566","ENSG00000258320.1",0,0,0,0,0,0,0,0,1
"45567","ENSG00000258323.1",1,0,2,1,1,0,0,0,0
"45568","ENSG00000258324.2",0,0,0,0,0,0,0,0,0
"45569","ENSG00000258325.2",5,30,38,16,12,10,6,9,17
"45570","ENSG00000258331.1",0,0,0,0,0,0,0,4,1
"45571","ENSG00000258332.1",0,0,0,0,0,0,0,0,0
"45572","ENSG00000258334.1",9,5,68,52,12,6,77,17,29
"45573","ENSG00000258336.1",0,0,0,0,0,0,0,0,0
"45574","ENSG00000258337.1",0,0,0,0,1,0,2,0,1
"45575","ENSG00000258338.1",0,0,0,0,0,0,0,0,0
"45576","ENSG00000258342.1",0,11,0,2,4,0,0,0,0
"45577","ENSG00000258343.1",2,3,4,6,0,18,37,5,9
"45578","ENSG00000258344.1",3,5,4,6,7,3,0,1,4
"45579","ENSG00000258345.1",0,1,0,0,0,0,0,0,0
"45580","ENSG00000258346.1",0,0,0,0,0,0,4,3,4
"45581","ENSG00000258350.1",0,0,1,0,1,0,0,0,0
"45582","ENSG00000258352.1",1,14,11,28,7,27,51,23,44
"45583","ENSG00000258354.1",3,4,3,0,0,4,0,1,0
"45584","ENSG00000258355.1",4,1,0,1,2,0,3,1,2
"45585","ENSG00000258357.1",0,1,0,0,0,1,0,0,2
"45586","ENSG00000258358.2",0,0,0,0,0,0,0,0,0
"45587","ENSG00000258359.1",6,13,12,15,6,5,4,8,9
"45588","ENSG00000258360.1",0,0,0,0,0,0,0,0,0
"45589","ENSG00000258364.1",0,0,0,0,0,0,0,0,0
"45590","ENSG00000258365.1",2,34,11,22,11,6,9,11,53
"45591","ENSG00000258366.6",38,154,41,50,26,49,51,29,79
"45592","ENSG00000258367.2",0,0,0,0,0,0,0,0,0
"45593","ENSG00000258368.1",0,0,0,0,0,0,0,0,0
"45594","ENSG00000258369.1",0,0,0,0,0,0,0,0,0
"45595","ENSG00000258373.1",1,1,0,2,7,1,0,1,0
"45596","ENSG00000258375.2",0,0,0,0,0,0,0,0,0
"45597","ENSG00000258376.2",66,203,142,154,139,275,176,120,100
"45598","ENSG00000258377.1",0,0,0,0,0,0,0,0,0
"45599","ENSG00000258378.1",4,4,2,6,1,3,1,5,3
"45600","ENSG00000258379.1",0,0,0,0,0,0,0,0,2
"45601","ENSG00000258380.1",2,0,1,2,1,0,1,0,1
"45602","ENSG00000258381.1",0,0,0,0,0,1,0,0,0
"45603","ENSG00000258383.1",0,0,0,1,0,0,0,0,0
"45604","ENSG00000258384.1",14,37,30,32,41,9,4,5,14
"45605","ENSG00000258385.1",0,0,0,0,1,0,0,0,0
"45606","ENSG00000258386.1",0,0,0,0,1,1,0,0,0
"45607","ENSG00000258387.1",0,0,0,0,0,2,0,0,0
"45608","ENSG00000258388.6",37,79,39,69,65,17,39,27,40
"45609","ENSG00000258390.1",0,0,0,1,0,0,0,0,0
"45610","ENSG00000258392.1",0,0,0,0,0,0,0,0,0
"45611","ENSG00000258393.1",0,1,0,0,0,0,0,0,0
"45612","ENSG00000258394.1",0,0,0,0,0,5,0,0,0
"45613","ENSG00000258397.1",1,0,0,0,0,0,0,0,0
"45614","ENSG00000258399.5",0,0,3,8,1,2,1,3,1
"45615","ENSG00000258400.1",1,0,0,0,0,0,0,0,0
"45616","ENSG00000258401.1",0,0,0,0,0,2,0,0,1
"45617","ENSG00000258402.1",0,0,0,0,0,0,0,0,0
"45618","ENSG00000258404.1",0,0,0,4,2,0,1,3,4
"45619","ENSG00000258405.8",15,59,1,11,1,5,83,34,53
"45620","ENSG00000258406.1",0,0,0,0,0,0,0,0,0
"45621","ENSG00000258407.1",0,0,0,0,0,0,0,0,0
"45622","ENSG00000258408.1",1,0,0,0,0,0,1,0,0
"45623","ENSG00000258410.1",0,0,0,0,0,0,0,0,0
"45624","ENSG00000258411.2",0,0,0,0,0,0,0,0,1
"45625","ENSG00000258412.1",0,0,0,2,0,2,0,0,1
"45626","ENSG00000258413.1",0,2,4,1,5,0,1,0,3
"45627","ENSG00000258414.1",0,3,1,3,0,1,2,0,7
"45628","ENSG00000258415.2",0,0,0,0,0,0,0,0,0
"45629","ENSG00000258416.1",0,0,1,1,1,0,0,0,0
"45630","ENSG00000258417.3",0,0,0,0,0,0,0,0,0
"45631","ENSG00000258418.1",0,0,0,0,0,0,0,0,0
"45632","ENSG00000258419.1",0,0,0,0,0,0,0,0,0
"45633","ENSG00000258420.1",0,0,0,0,0,0,0,0,0
"45634","ENSG00000258421.2",0,0,0,0,0,0,0,0,0
"45635","ENSG00000258422.4",0,0,0,0,0,1,4,6,6
"45636","ENSG00000258423.1",2,1,0,0,0,0,0,0,3
"45637","ENSG00000258424.1",12,2,22,73,25,6,20,26,12
"45638","ENSG00000258425.1",0,1,0,1,0,1,1,0,3
"45639","ENSG00000258426.1",0,0,0,0,0,0,0,0,0
"45640","ENSG00000258427.3",8,15,16,12,5,17,5,4,4
"45641","ENSG00000258428.4",2,0,7,7,10,3,2,4,4
"45642","ENSG00000258429.1",81,124,156,114,117,57,60,53,88
"45643","ENSG00000258430.1",0,0,0,0,0,0,0,0,0
"45644","ENSG00000258431.1",0,0,0,0,0,0,0,0,0
"45645","ENSG00000258433.1",0,0,0,0,0,0,0,0,0
"45646","ENSG00000258435.1",2,4,1,2,0,0,1,1,2
